condition	seed	task_index	task	export_path	source	generated_with_parent	missing_parent_rows	selected_top_n	valid_selected
full-spectrum	2	0	Celecoxib_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260825_094615/runs/spectralmol/seed_2/case_GuacaMol_20260825_094617/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_25/2026_08_25_evolution_ga_Celecoxib_rediscovery/generator_top_molecules_lineage.csv	top-lineage	195	0	100	100
full-spectrum	2	10	Osimertinib_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_10_Osimertinib_MPO/compare_GuacaMol_20260825_094659/runs/spectralmol/seed_2/case_GuacaMol_20260825_094659/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_02/2026_08_25_evolution_ga_Osimertinib_MPO/generator_top_molecules_lineage.csv	top-lineage	159	0	100	100
full-spectrum	2	11	Fexofenadine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_11_Fexofenadine_MPO/compare_GuacaMol_20260825_094659/runs/spectralmol/seed_2/case_GuacaMol_20260825_094659/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_02/2026_08_25_evolution_ga_Fexofenadine_MPO/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	12	Ranolazine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_12_Ranolazine_MPO/compare_GuacaMol_20260825_094704/runs/spectralmol/seed_2/case_GuacaMol_20260825_094705/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_08/2026_08_25_evolution_ga_Ranolazine_MPO/generator_top_molecules_lineage.csv	top-lineage	146	0	100	100
full-spectrum	2	13	Perindopril_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_13_Perindopril_MPO/compare_GuacaMol_20260825_094710/runs/spectralmol/seed_2/case_GuacaMol_20260825_094710/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_13/2026_08_25_evolution_ga_Perindopril_MPO/generator_top_molecules_lineage.csv	top-lineage	45	0	45	45
full-spectrum	2	14	Amlodipine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_14_Amlodipine_MPO/compare_GuacaMol_20260825_094713/runs/spectralmol/seed_2/case_GuacaMol_20260825_094713/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_16/2026_08_25_evolution_ga_Amlodipine_MPO/generator_top_molecules_lineage.csv	top-lineage	57	8	57	57
full-spectrum	2	15	Sitagliptin_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_15_Sitagliptin_MPO/compare_GuacaMol_20260825_094713/runs/spectralmol/seed_2/case_GuacaMol_20260825_094714/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_17/2026_08_25_evolution_ga_Sitagliptin_MPO/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	16	Zaleplon_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_16_Zaleplon_MPO/compare_GuacaMol_20260825_094713/runs/spectralmol/seed_2/case_GuacaMol_20260825_094714/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_17/2026_08_25_evolution_ga_Zaleplon_MPO/generator_top_molecules_lineage.csv	top-lineage	158	0	100	100
full-spectrum	2	17	Valsartan_smarts	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_17_Valsartan_smarts/compare_GuacaMol_20260825_094713/runs/spectralmol/seed_2/case_GuacaMol_20260825_094714/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_16/2026_08_25_evolution_ga_Valsartan_smarts/generator_top_molecules_lineage.csv	top-lineage	191	0	100	100
full-spectrum	2	18	Deco_hop	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_18_Deco_hop/compare_GuacaMol_20260825_094716/runs/spectralmol/seed_2/case_GuacaMol_20260825_094716/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_19/2026_08_25_evolution_ga_Deco_hop/generator_top_molecules_lineage.csv	top-lineage	51	0	51	51
full-spectrum	2	19	Scaffold_hop	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_19_Scaffold_hop/compare_GuacaMol_20260825_094717/runs/spectralmol/seed_2/case_GuacaMol_20260825_094718/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_20/2026_08_25_evolution_ga_Scaffold_hop/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
