condition	seed	task_index	task	export_path	source	initial_unique	generated_unique_novel	seed_duplicate_rows	selected_top_n	valid_selected
full-spectrum	1	13	Perindopril_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Perindopril_MPO/generator_top_molecules.csv	generator-top	256	33	167	33	33
full-spectrum	1	14	Amlodipine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150850/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Amlodipine_MPO/generator_top_molecules.csv	generator-top	256	199	1	100	100
full-spectrum	1	15	Sitagliptin_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150847/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Sitagliptin_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	16	Zaleplon_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Zaleplon_MPO/generator_top_molecules.csv	generator-top	256	191	9	100	100
full-spectrum	1	17	Valsartan_smarts	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Valsartan_smarts/generator_top_molecules.csv	generator-top	256	191	9	100	100
full-spectrum	1	18	Deco_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_18_Deco_hop/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Deco_hop/generator_top_molecules.csv	generator-top	256	76	124	76	76
full-spectrum	1	19	Scaffold_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_19_Scaffold_hop/compare_GuacaMol_20260824_150848/runs/spectralmol/seed_1/case_GuacaMol_20260824_150849/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_57/2026_08_24_evolution_ga_Scaffold_hop/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	1	Troglitazone_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Troglitazone_rediscovery/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	2	Thiothixene_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Thiothixene_rediscovery/generator_top_molecules.csv	generator-top	256	17	183	17	17
full-spectrum	1	3	Aripiprazole_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Aripiprazole_similarity/generator_top_molecules.csv	generator-top	256	200	0	100	100
