condition	seed	task_index	task	best_score	avg_score	evaluated	scores_csv	compare_root
low-only	0	18	Deco_hop	0.596045447740113	0.4950515030332599	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_153411/runs/spectralmol/seed_0/case_GuacaMol_20260824_153413/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_25/2026_08_24_evolution_ga_Deco_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_153411
low-only	0	19	Scaffold_hop	0.666667	0.3533100249504507	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_153410/runs/spectralmol/seed_0/case_GuacaMol_20260824_153412/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_22/2026_08_24_evolution_ga_Scaffold_hop/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_153410
low-only	0	1	Troglitazone_rediscovery	1.0	0.10235888014581505	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_153238/runs/spectralmol/seed_0/case_GuacaMol_20260824_153239/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_32_41/2026_08_24_evolution_ga_Troglitazone_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_153238
low-only	0	2	Thiothixene_rediscovery	1.0	0.10353595790446622	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_153238/runs/spectralmol/seed_0/case_GuacaMol_20260824_153239/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_32_42/2026_08_24_evolution_ga_Thiothixene_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_153238
low-only	0	3	Aripiprazole_similarity	1.0	0.13219408522722167	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_153241/runs/spectralmol/seed_0/case_GuacaMol_20260824_153241/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_32_44/2026_08_24_evolution_ga_Aripiprazole_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_153241
low-only	0	4	Albuterol_similarity	0.5714285714285714	0.22031068704304707	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_153244/runs/spectralmol/seed_0/case_GuacaMol_20260824_153244/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_32_47/2026_08_24_evolution_ga_Albuterol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_153244
low-only	0	5	Mestranol_similarity	1.0	0.16991703035985517	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_153312/runs/spectralmol/seed_0/case_GuacaMol_20260824_153314/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_27/2026_08_24_evolution_ga_Mestranol_similarity/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_153312
low-only	0	6	C11H24	1.0	0.048682500916607696	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_6_C11H24/compare_GuacaMol_20260824_153312/runs/spectralmol/seed_0/case_GuacaMol_20260824_153314/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_27/2026_08_24_evolution_ga_C11H24/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_6_C11H24/compare_GuacaMol_20260824_153312
low-only	0	7	C9H10N2O2PF2Cl	0.8824969025845953	0.16256683363128926	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_153311/runs/spectralmol/seed_0/case_GuacaMol_20260824_153312/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_14/2026_08_24_evolution_ga_C9H10N2O2PF2Cl/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_153311
low-only	0	8	Median_molecules_1	0.3999999999999999	0.06482471866493889	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_153315/runs/spectralmol/seed_0/case_GuacaMol_20260824_153317/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_23/2026_08_24_evolution_ga_Median_molecules_1/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_153315
