condition	task_index	task	mean_best_score	std_best_score	n_seeds
high-only	10	Osimertinib_MPO	0.7907037887332975	0.01838359223905193	6
low-only	10	Osimertinib_MPO	0.8180606434374925	0.07319968932759686	6
random-matrix	10	Osimertinib_MPO	0.876692186557951	0.08871998270833316	6
full-spectrum	11	Fexofenadine_MPO	0.9864024678226303	0.020424775196487933	6
high-only	11	Fexofenadine_MPO	0.7729790135199267	0.142587180093859	6
low-only	11	Fexofenadine_MPO	0.9955873002299245	0.006038532266454839	6
random-matrix	11	Fexofenadine_MPO	0.999989491928495	2.573941336826481e-05	6
full-spectrum	12	Ranolazine_MPO	0.7132617206195264	0.06029137299036916	6
high-only	12	Ranolazine_MPO	0.6753663046445517	0.049079756751388225	6
low-only	12	Ranolazine_MPO	0.7415673453983606	0.06902352604798714	6
random-matrix	12	Ranolazine_MPO	0.7035332062998526	0.06871930894369431	6
full-spectrum	13	Perindopril_MPO	0.4392598009523554	0.020643183368139927	6
high-only	13	Perindopril_MPO	0.4392598009523554	0.020643183368139927	6
low-only	13	Perindopril_MPO	0.4392598009523554	0.020643183368139927	6
random-matrix	13	Perindopril_MPO	0.4392598009523554	0.020643183368139927	6
full-spectrum	14	Amlodipine_MPO	0.6550712039801176	0.16039891362011832	6
high-only	14	Amlodipine_MPO	0.5888523744236817	0.11175841507690149	6
low-only	14	Amlodipine_MPO	0.8863452147482672	0.013616235574592071	6
random-matrix	14	Amlodipine_MPO	0.898359466894142	0.01002883570236919	6
full-spectrum	15	Sitagliptin_MPO	0.6791131849879412	0.06183587805722157	6
high-only	15	Sitagliptin_MPO	0.2524340600146146	0.06406229359899722	6
low-only	15	Sitagliptin_MPO	0.5709072293142553	0.10361141434946766	6
random-matrix	15	Sitagliptin_MPO	0.5494978604001399	0.2041539009705047	6
full-spectrum	16	Zaleplon_MPO	0.648326285956638	0.11067661420633823	6
high-only	16	Zaleplon_MPO	0.5746400554780055	0.07985516655753301	6
low-only	16	Zaleplon_MPO	0.6722035603223339	0.03883863972318688	6
random-matrix	16	Zaleplon_MPO	0.690846774242197	0.0059661071128587866	6
full-spectrum	17	Valsartan_smarts	0.027231505723098168	0.0015702024955218314	6
high-only	17	Valsartan_smarts	0.023949129546501066	0.005599542381672684	6
low-only	17	Valsartan_smarts	0.023949129546501066	0.005599542381672684	6
random-matrix	17	Valsartan_smarts	0.023949129546501066	0.005599542381672684	6
full-spectrum	18	Deco_hop	0.5945706714651063	0.006554093768884624	6
high-only	18	Deco_hop	0.5945201939577306	0.006473049502989178	6
low-only	18	Deco_hop	0.601861608419888	0.01306883773362694	6
random-matrix	18	Deco_hop	0.5981471906443273	0.0049746283677574435	6
full-spectrum	19	Scaffold_hop	0.666667	0.0	6
high-only	19	Scaffold_hop	0.666667	0.0	6
low-only	19	Scaffold_hop	0.666667	0.0	6
random-matrix	19	Scaffold_hop	0.666667	0.0	6
