condition	seed	task_index	task	status	return_code	elapsed_seconds	source
full-spectrum	4	15	Sitagliptin_MPO	ok	0	192.18681383132935	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	16	Zaleplon_MPO	ok	0	174.94530844688416	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	17	Valsartan_smarts	ok	0	162.48056626319885	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_17_Valsartan_smarts/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	18	Deco_hop	ok	0	172.73640894889832	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_18_Deco_hop/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	19	Scaffold_hop	ok	0	178.3523588180542	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_19_Scaffold_hop/compare_GuacaMol_20260824_152107/model_runtime.tsv
full-spectrum	4	1	Troglitazone_rediscovery	ok	0	192.4660701751709	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_152109/model_runtime.tsv
full-spectrum	4	2	Thiothixene_rediscovery	ok	0	190.10763144493103	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_152109/model_runtime.tsv
full-spectrum	4	3	Aripiprazole_similarity	ok	0	178.8164963722229	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_152109/model_runtime.tsv
full-spectrum	4	4	Albuterol_similarity	ok	0	154.25573563575745	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_4_Albuterol_similarity/compare_GuacaMol_20260824_152102/model_runtime.tsv
full-spectrum	4	5	Mestranol_similarity	ok	0	175.0432529449463	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_5_Mestranol_similarity/compare_GuacaMol_20260824_152102/model_runtime.tsv
full-spectrum	4	6	C11H24	ok	0	123.98775053024292	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_6_C11H24/compare_GuacaMol_20260824_152102/model_runtime.tsv
full-spectrum	4	7	C9H10N2O2PF2Cl	ok	0	131.90238404273987	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_152102/model_runtime.tsv
full-spectrum	4	8	Median_molecules_1	ok	0	137.0074863433838	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_8_Median_molecules_1/compare_GuacaMol_20260824_152103/model_runtime.tsv
full-spectrum	4	9	Median_molecules_2	ok	0	138.14435482025146	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_4/task_9_Median_molecules_2/compare_GuacaMol_20260824_152103/model_runtime.tsv
full-spectrum	5	0	Celecoxib_rediscovery	ok	0	257.10032844543457	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_5/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_152109/model_runtime.tsv
full-spectrum	5	10	Osimertinib_MPO	ok	0	200.30647897720337	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_5/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_152103/model_runtime.tsv
full-spectrum	5	11	Fexofenadine_MPO	ok	0	309.7668743133545	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_5/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_152103/model_runtime.tsv
