threshold	seed	budget	strategy	population_stage	rank_by_scalar	smiles	scaffold	scalar_objective	docking_raw	qed	sa	molwt	decode_reason	macro_count	source_file
-9.0	8	1000	theta_nsga2_multiobjective	archive	430	O=C(Cl)c1nnccc1CCc1ccc(C(F)(F)F)cc1	c1ccc(CCc2ccnnc2)cc1	0.6759476661682129	-9.5	0.8088636139103667	2.476641498416255	314.69399999999996	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	4	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	432	O=C=C(Cl)c1ncccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2cccnc2)cc1	0.6758589148521423	-9.9	0.7939357877637042	2.5536010368841087	327.68899999999996	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	4	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	436	CC(=C=N)c1ccccc1Cc1ccc(C(F)(F)F)nc1	c1ccc(Cc2cccnc2)cc1	0.6755923628807068	-9.7	0.8385579309817571	2.7180515779918526	290.28799999999995	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	438	C=C(Cl)c1ncccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2cccnc2)cc1	0.6754059791564941	-9.2	0.8015426620965505	2.313937254384424	313.70599999999996	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	4	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	439	N=C=Cc1ccccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2ccccc2)cc1	0.6752912998199463	-9.1	0.8238013500642755	2.4026063322965765	291.27199999999993	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	440	C=C(C)c1ncncc1CCc1ccc(C(F)(F)F)cc1	c1ccc(CCc2cncnc2)cc1	0.6752294898033142	-9.2	0.8386665525133243	2.5294383153923814	292.304	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	441	CC(=O)c1ncncc1CCc1ccc(C(F)(F)F)cc1	c1ccc(CCc2cncnc2)cc1	0.6752278804779053	-9.2	0.8107266883913574	2.372902771625803	294.27599999999995	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	446	C=C(C=N)c1ncccc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2cccnc2)cc1	0.6747499108314514	-9.4	0.8351024175708397	2.6019082247781817	306.287	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	447	CC(=C=N)c1nnncc1OCc1ccc(C(F)(F)F)cc1	c1ccc(COc2cnnnc2)cc1	0.6747172474861145	-9.9	0.8808768702236346	2.9948529914868836	308.263	THETA_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
-9.0	8	1000	theta_nsga2_multiobjective	archive	448	O=C(O)Cc1ccccc1CCC1=CC=C(C(F)(F)F)CC1	C1=CCCC(CCc2ccccc2)=C1	0.6745895743370056	-9.4	0.8718235370191877	2.7848590444503127	310.315	THETA_LATE_GENERATED_HIT_SITE_SCAN:OK:CHEAP_PRESELECT	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/runs/budget_1000/seed_8/theta_nsga2_multiobjective/molecules_all.csv
